,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Walldürn,49.58,9.37,295.93,38,80,1.34,DE,1595526159
181,Tual,-5.67,132.75,299.28,81,24,8.3,ID,1595526160
182,Saint George,37.1,-113.58,307.04,24,1,3.6,US,1595526160
183,Nuuk,64.18,-51.72,285.15,76,75,3.6,GL,1595526046
184,Sørland,67.67,12.69,284.15,81,75,11.8,NO,1595526160
185,Richards Bay,-28.78,32.04,290.6,71,0,4.13,ZA,1595526160
186,Goderich,43.75,-81.72,296.48,77,23,6.05,CA,1595526160
187,Laguna,38.42,-121.42,295.93,60,1,2.6,US,1595525914
188,Lashio,22.93,97.75,293.3,99,100,0.28,MM,1595525995
189,San Andrés,12.58,-81.7,304.15,70,90,6.2,CO,1595526002
190,Geraldton,-28.77,114.6,280.15,93,0,2.1,AU,1595526160
191,Kruisfontein,-34,24.73,286.48,64,0,1.23,ZA,1595526161
192,Sazonovo,59.09,35.23,285.04,90,78,1.75,RU,1595526161
193,Durban,-29.86,31.03,292.04,77,0,3.1,ZA,1595525882
194,San Javier,37.81,-0.84,305.37,51,0,3.6,ES,1595526161
195,Norman Wells,65.28,-126.83,287.15,82,75,2.1,CA,1595526161
196,Praia da Vitória,38.73,-27.07,297.15,69,20,2.45,PT,1595526161
197,Taihecun,45.8,130.85,291.95,85,0,1.79,CN,1595526161
198,Kahului,20.89,-156.47,297.59,69,20,4.51,US,1595526161
199,Aksarka,66.56,67.8,283.71,70,43,2.48,RU,1595526161
200,Ayan,56.45,138.17,284.33,80,48,1.97,RU,1595526162
201,Bilibino,68.05,166.44,292.04,50,9,1.93,RU,1595526162
202,Half Moon Bay,37.46,-122.43,293.15,72,40,1.5,US,1595526162
203,Weligama,5.97,80.42,299.09,86,99,2.55,LK,1595526162
204,Chokurdakh,70.63,147.92,291.18,69,46,2.66,RU,1595526162
205,El Alto,-4.27,-81.21,297.15,64,8,8.2,PE,1595526162
206,Takaka,-40.85,172.8,275.37,91,22,1.79,NZ,1595526162
207,Turaif,31.67,38.66,310.15,18,0,6.2,SA,1595526162
208,Provideniya,64.38,-173.3,283.76,61,52,3.3,RU,1595526162
209,Tilichiki,60.47,166.1,282,89,0,1.41,RU,1595526163
210,Rosetta,31.4,30.42,298.34,84,0,6.32,EG,1595526163
211,Buala,-8.14,159.59,300.14,81,99,5.15,SB,1595526163
